Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1611.1381296059415
FDW14,OUT017,1333.255005344995
NCN55,OUT010,552.9619435836295
FDQ58,OUT017,2535.481640270633
FDY38,OUT027,5721.315475848516
FDH56,OUT046,1981.0363564501997
FDL48,OUT018,704.46985922891
FDC48,OUT027,2286.696646597551
FDN33,OUT045,1513.1967512709825
FDA36,OUT017,3081.2240544246383
FDT44,OUT017,1985.5026738762183
FDQ56,OUT045,1348.424207562008
NCC54,OUT019,624.2646538039586
FDU11,OUT049,1992.4705969934419
DRL59,OUT013,745.2163252054035
FDM24,OUT049,2510.8874449212467
FDI57,OUT045,3279.6279036242468
DRC12,OUT018,2984.2032687285378
NCM42,OUT027,2655.845028958294
FDA46,OUT010,512.5353128504779
FDA31,OUT013,2810.395168560911
NCJ31,OUT035,3841.431674434818
FDG52,OUT046,742.7813305699005
NCL19,OUT019,294.08494358471887
FDS10,OUT035,2956.612578925702
FDX22,OUT010,483.5277877518217
NCF19,OUT035,741.1784978851372
NCE06,OUT046,2604.881172986894
DRC27,OUT046,3939.5936283071005
FDE21,OUT035,1995.323490614816
NCR42,OUT019,73.23804938974034
FDX51,OUT018,2971.3771273069306
NCR06,OUT018,586.9361889840375
FDU31,OUT027,5607.909488593914
FDU59,OUT017,2578.7861881749645
FDR03,OUT027,5019.570507602613
FDS49,OUT027,2503.089687643283
FDD48,OUT010,258.11182599922455
NCF18,OUT017,3068.477306394691
NCD43,OUT027,2474.708981456127
NCD54,OUT018,2022.1700071931257
FDY19,OUT010,253.5721005289058
NCY54,OUT017,2816.6372136701866
NCL19,OUT018,2428.3769096282554
FDP23,OUT010,459.2698098086231
FDC26,OUT013,1667.7956620284622
FDR14,OUT010,166.3984205820434
NCS41,OUT035,3100.14756528524
FDF41,OUT035,3937.707134624381
FDU34,OUT046,1999.6932168746416
DRH11,OUT046,865.1065502158096
FDM03,OUT013,1612.7499390734572
FDS31,OUT017,3004.1956606021663
FDJ20,OUT017,1997.4263761560976
FDV44,OUT027,5345.392555763318
FDG02,OUT049,3178.741844410511
FDA09,OUT013,2885.4350448432133
FDT04,OUT013,607.7766095199012
FDL58,OUT019,595.1548656729476
FDE52,OUT045,1343.3038156110374
FDW12,OUT035,2491.102892058731
FDL51,OUT017,3573.3286089955536
NCY42,OUT027,3265.287854642332
FDR07,OUT017,1538.1824547313022
FDN40,OUT045,2513.972810205981
FDB35,OUT027,2500.2324068965922
FDA22,OUT017,2627.035261937741
NCL06,OUT046,4058.7890974268284
FDI35,OUT013,3125.374252454902
NCW42,OUT045,3680.913438407362
NCX06,OUT049,2923.6254104863456
FDC37,OUT027,2605.8252294502445
FDZ14,OUT018,1906.0695850532065
DRG49,OUT049,4093.3422869538176
NCG06,OUT045,4060.7410845358995
DRC36,OUT045,2832.6795953981145
FDV21,OUT019,438.19871812370786
FDB53,OUT046,2518.8967678587082
DRP47,OUT019,598.1353376728209
FDA14,OUT013,2509.7970459391795
DRC24,OUT035,2481.4190537903896
FDW21,OUT018,1551.7480607894506
NCH29,OUT046,1547.381328105103
FDU58,OUT013,3066.649490378406
FDY27,OUT017,2832.9567850597728
FDV56,OUT035,1611.1418470440121
FDT59,OUT046,3825.610776919914
FDB23,OUT046,3752.1836147481094
FDR49,OUT045,742.7813305699005
FDB03,OUT010,577.728239504416
FDN39,OUT045,2611.9072705318754
FDX02,OUT027,5577.681882927144
FDQ16,OUT027,2617.214393594447
FDU35,OUT018,1528.1673826858773
NCT29,OUT013,1977.1500255280591
FDZ27,OUT046,744.6868943301045
FDN57,OUT017,2008.3411418741116
FDA03,OUT018,2413.8046108864455
FDZ36,OUT045,3090.643840119359
NCU05,OUT013,1291.4484043249117
FDT39,OUT018,2405.7171262479837
FDK60,OUT017,1546.851019473022
FDZ25,OUT017,2674.2779427136247
FDG12,OUT046,2016.6542395013246
DRB01,OUT019,513.2934211902291
NCC43,OUT027,6105.381759258415
FDX13,OUT019,557.668365594371
